station_number,check_digit
03-40-01-01,23
03-40-02-01,59
03-40-03-01,82
03-40-04-01,58
03-40-05-01,40
03-40-06-01,17
03-40-07-01,05
03-40-08-01,95
03-40-09-01,28
03-40-10-01,38
03-40-11-01,08
03-40-12-01,13
03-40-13-01,80
03-40-14-01,53
03-40-15-01,56
03-40-16-01,14
03-40-17-01,96
03-40-18-01,36
03-40-19-01,19
03-40-20-01,12
03-40-21-01,25
03-40-22-01,10
03-40-23-01,97
03-40-24-01,34
03-40-25-01,99
03-40-26-01,51
03-40-27-01,22
03-40-28-01,03
03-40-29-01,44
03-40-33-01,30
03-40-34-01,50
03-40-35-01,32
03-40-36-01,47
03-40-37-01,46
03-40-38-01,26
03-40-39-01,15
03-40-40-01,42
03-40-41-01,76
03-40-42-01,78
03-40-43-01,65
03-40-44-01,69
03-40-45-01,45
03-40-46-01,95
03-40-47-01,36
03-40-48-01,36
03-40-49-01,79
03-40-50-01,06
03-40-51-01,77
03-40-52-01,77
03-40-53-01,54
03-40-54-01,64
03-40-55-01,44
03-40-56-01,24
03-40-57-01,23
03-40-58-01,50
03-40-59-01,80
03-40-60-01,48
03-40-61-01,49
03-40-62-01,77
03-40-63-01,20
03-42-01-01,05
03-42-02-01,41
03-42-03-01,37
03-42-04-01,07
03-42-05-01,31
03-42-06-01,47
03-42-07-01,56
03-42-08-01,66
03-42-09-01,46
03-42-10-01,34
03-42-11-01,83
03-42-12-01,02
03-42-13-01,81
03-42-14-01,81
03-42-15-01,30
03-42-16-01,08
03-42-17-01,75
03-42-18-01,00
03-42-19-01,61
03-42-20-01,16
03-42-21-01,28
03-42-22-01,17
03-42-23-01,43
03-42-24-01,73
03-42-25-01,39
03-42-26-01,38
03-42-27-01,99
03-42-28-01,27
03-42-29-01,80
03-42-33-01,93
03-42-34-01,84
03-42-35-01,33
03-42-36-01,51
03-42-37-01,32
03-42-38-01,15
03-42-39-01,71
03-42-40-01,13
03-42-41-01,88
03-42-42-01,68
03-42-43-01,63
03-42-44-01,55
03-42-45-01,94
03-42-46-01,62
03-42-47-01,58
03-42-48-01,14
03-42-49-01,56
03-42-50-01,56
03-42-51-01,57
03-42-52-01,28
03-42-53-01,99
03-42-54-01,92
03-42-55-01,32
03-42-56-01,82
03-42-57-01,30
03-42-58-01,96
03-42-59-01,70
03-42-60-01,74
03-42-61-01,29
03-42-62-01,52
03-42-63-01,20
03-55-04-01,88
03-55-05-01,46
03-55-06-01,26
03-55-07-01,15
03-55-08-01,42
03-55-09-01,76
03-55-10-01,78
03-55-11-01,65
03-55-12-01,69
03-55-13-01,45
03-55-14-01,13
03-55-15-01,36
03-55-16-01,25
03-55-17-01,79
03-55-18-01,06
03-55-19-01,72
03-55-20-01,06
03-55-21-01,72
03-55-22-01,77
03-55-23-01,54
03-55-24-01,64
03-55-25-01,23
03-55-26-01,50
03-55-27-01,80
03-55-28-01,48
03-55-32-01,05
03-55-33-01,41
03-55-34-01,37
03-55-35-01,07
03-55-36-01,31
03-55-37-01,47
03-55-38-01,40
03-55-39-01,66
