building_number,station_number,check_digit
3,40-01,23
3,40-02,59
3,40-03,82
3,40-04,58
3,40-05,40
3,40-06,17
3,40-07,05
3,40-08,95
3,40-09,28
3,40-10,38
3,40-11,08
3,40-12,13
3,40-13,80
3,40-14,53
3,40-15,56
3,40-16,14
3,40-17,96
3,40-18,36
3,40-19,19
3,40-20,12
3,40-21,25
3,40-22,10
3,40-23,97
3,40-24,34
3,40-25,99
3,40-26,51
3,40-27,22
3,40-28,03
3,40-29,44
3,40-33,30
3,40-34,50
3,40-35,32
3,40-36,47
3,40-37,46
3,40-38,26
3,40-39,15
3,40-40,42
3,40-41,76
3,40-42,78
3,40-43,65
3,40-44,69
3,40-45,45
3,40-46,95
3,40-47,36
3,40-48,36
3,40-49,79
3,40-50,06
3,40-51,77
3,40-52,77
3,40-53,54
3,40-54,64
3,40-55,44
3,40-56,24
3,40-57,23
3,40-58,50
3,40-59,80
3,40-60,48
3,40-61,49
3,40-62,77
3,40-63,20
3,42-01,05
3,42-02,41
3,42-03,37
3,42-04,07
3,42-05,31
3,42-06,47
3,42-07,56
3,42-08,66
3,42-09,46
3,42-10,34
3,42-11,83
3,42-12,02
3,42-13,81
3,42-14,81
3,42-15,30
3,42-16,08
3,42-17,75
3,42-18,00
3,42-19,61
3,42-20,16
3,42-21,28
3,42-22,17
3,42-23,43
3,42-24,73
3,42-25,39
3,42-26,38
3,42-27,99
3,42-28,27
3,42-29,80
3,42-33,93
3,42-34,84
3,42-35,33
3,42-36,51
3,42-37,32
3,42-38,15
3,42-39,71
3,42-40,13
3,42-41,88
3,42-42,68
3,42-43,63
3,42-44,55
3,42-45,94
3,42-46,62
3,42-47,58
3,42-48,14
3,42-49,56
3,42-50,56
3,42-51,57
3,42-52,28
3,42-53,99
3,42-54,92
3,42-55,32
3,42-56,82
3,42-57,30
3,42-58,96
3,42-59,70
3,42-60,74
3,42-61,29
3,42-62,52
3,42-63,20
3,57-04,79
3,57-05,57
3,57-06,16
3,57-07,77
3,57-08,93
3,57-09,64
3,57-10,04
3,57-11,67
3,57-12,72
3,57-13,60
3,57-14,37
3,57-15,65
3,57-16,81
3,57-17,69
3,57-18,76
3,57-19,75
3,57-20,63
3,57-21,21
3,57-22,71
3,57-23,61
3,57-24,86
3,57-25,68
3,57-26,07
3,57-27,24
3,57-28,35
3,57-32,26
3,57-33,49
3,57-34,88
3,57-35,91
3,57-36,05
3,57-37,74
3,57-38,39
3,57-39,13
3,57-40,20
3,57-41,91
3,58-01,21
3,58-02,55
3,58-03,57
3,58-04,16
3,58-05,77
3,58-06,93
3,58-07,64
3,58-08,04
3,58-09,67
3,58-10,72
3,58-11,60
3,58-12,37
3,58-13,65
3,58-14,22
3,58-15,69
3,58-16,90
3,58-17,87
3,58-18,98
3,58-19,06
3,58-20,15
3,58-21,00
3,58-22,11
3,58-23,73
3,58-24,66
3,58-25,61
3,58-26,89
3,58-27,07
3,58-28,24
3,58-29,48
3,58-33,41
3,58-34,85
3,58-35,56
3,58-36,86
3,58-37,68
3,58-38,18
3,58-39,79
3,58-40,94
3,58-41,17
3,58-42,09
3,58-43,52
3,58-44,45
3,58-45,70
3,58-46,43
3,58-47,31
3,58-48,26
3,58-49,49
3,58-50,65
3,58-51,91
3,58-52,61
3,58-53,39
3,58-54,13
3,58-55,20
3,58-56,74
3,58-57,62
3,58-58,84
3,58-59,27
3,58-60,78
3,58-61,21
3,58-62,71
3,59-01,12
3,59-02,34
3,59-03,56
3,59-04,78
3,59-05,90
3,59-06,11
3,59-07,22
3,59-08,33
3,59-09,44
3,59-10,55
3,59-11,66
3,59-12,77
3,59-13,88
3,59-14,99
3,59-15,10
3,59-16,21
3,59-17,32
3,59-18,43
3,59-19,54
3,59-20,65
